time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1721411602104597500,26.281597412109374,-0.544373631477356,-0.07710281759500504,0.12453125417232513,0.8259567022323608,0.008583974093198776,-0.2938719391822815,1.166737675666809
1721411602121745400,26.298745361328123,-0.5445720553398132,-0.07613863050937653,0.12287131696939468,0.8261640071868896,0.008368088863790035,-0.28999730944633484,1.166793704032898
1721411602138887200,26.31588720703125,-0.5430953502655029,-0.0742454007267952,0.12110918015241623,0.8275672793388367,0.009025564417243004,-0.2849366366863251,1.1628146171569824
1721411602156046300,26.33304638671875,-0.541744589805603,-0.0719236508011818,0.1199432760477066,0.8288266062736511,0.011169251054525375,-0.28041332960128784,1.1594198942184448
1721411602173181200,26.35018115234375,-0.5402051210403442,-0.06981302797794342,0.11971329897642136,0.830044150352478,0.013979770243167877,-0.2777175307273865,1.155849575996399
1721411602190337500,26.367337646484376,-0.538281261920929,-0.06855260580778122,0.12031181156635284,0.8313115239143372,0.016164584085345268,-0.27737751603126526,1.15149986743927
1721411602207471600,26.3844716796875,-0.5359117984771729,-0.06834083795547485,0.12138631939888,0.8327025175094604,0.016945652663707733,-0.2790127694606781,1.1460790634155273
1721411602224629800,26.401629638671874,-0.533046543598175,-0.06869954615831375,0.1223684698343277,0.8343667387962341,0.01646190695464611,-0.2811289429664612,1.1393426656723022
1721411602241772500,26.4187724609375,-0.5319884419441223,-0.06942674517631531,0.12267827987670898,0.8349360823631287,0.015195825137197971,-0.2824667692184448,1.1367532014846802
1721411602258920200,26.435920166015624,-0.5289139747619629,-0.06975012272596359,0.12265332043170929,0.8368639349937439,0.013541796244680882,-0.2828274667263031,1.1291897296905518
1721411602276064300,26.453064208984376,-0.5259866118431091,-0.0696202889084816,0.12240610271692276,0.8387537598609924,0.012473461218178272,-0.28231093287467957,1.1219955682754517
1721411602293215700,26.4702158203125,-0.5233449935913086,-0.06870497763156891,0.12203311175107956,0.8405342102050781,0.012731806375086308,-0.28073176741600037,1.115591049194336
1721411602310343700,26.48734375,-0.5209952592849731,-0.06707888096570969,0.12172387540340424,0.8421684503555298,0.014407320879399776,-0.2785060405731201,1.11003839969635
1721411602327505400,26.50450537109375,-0.5190196633338928,-0.06486334651708603,0.1218717023730278,0.8435394763946533,0.017752982676029205,-0.27644556760787964,1.1056395769119263
1721411602344648000,26.52164794921875,-0.5168992280960083,-0.06202571466565132,0.12278513610363007,0.8449211716651917,0.022987505421042442,-0.2750651240348816,1.1012427806854248
1721411602361794000,26.5387939453125,-0.516245424747467,-0.059383708983659744,0.12352431565523148,0.8454028964042664,0.028183043003082275,-0.273568332195282,1.1003069877624512
1721411602378939400,26.555939453125,-0.5129313468933105,-0.057518791407346725,0.12368521839380264,0.8475229144096375,0.030513444915413857,-0.2720000445842743,1.0926626920700073
1721411602396085200,26.573085205078126,-0.5091157555580139,-0.05740802362561226,0.12347470968961716,0.8498585820198059,0.029224151745438576,-0.2716556489467621,1.0834496021270752
1721411602413234000,26.59023388671875,-0.5050700306892395,-0.05835181847214699,0.12341060489416122,0.8522142171859741,0.026175303384661674,-0.2726536989212036,1.0735950469970703
1721411602430393900,26.607393798828124,-0.5008302330970764,-0.05896823853254318,0.12349633872509003,0.8546581864356995,0.023792920634150505,-0.27355968952178955,1.0633995532989502
1721411602447522600,26.6245224609375,-0.4966740012168884,-0.058492135256528854,0.12382622063159943,0.8570652008056641,0.023621145635843277,-0.27376416325569153,1.0536812543869019
1721411602464673300,26.64167333984375,-0.49231961369514465,-0.05733296647667885,0.12413261830806732,0.8596076965332031,0.024572165682911873,-0.2732507586479187,1.0436255931854248
1721411602481813200,26.658813232421874,-0.4904644787311554,-0.056661561131477356,0.12421153485774994,0.8607006669044495,0.0252411849796772,-0.2727687656879425,1.0393646955490112
1721411602498959600,26.675959716796875,-0.48678696155548096,-0.056143760681152344,0.12417169660329819,0.8628255724906921,0.024926625192165375,-0.27228933572769165,1.0307412147521973
1721411602516104400,26.6931044921875,-0.48337602615356445,-0.055500853806734085,0.12474801391363144,0.8646996021270752,0.02556508779525757,-0.2727644443511963,1.0229779481887817
1721411602533250800,26.710250732421876,-0.47940775752067566,-0.05482826754450798,0.12576231360435486,0.8668022155761719,0.026524856686592102,-0.27400824427604675,1.0140612125396729
1721411602550414300,26.727414306640625,-0.4746471345424652,-0.05469570681452751,0.12757518887519836,0.869162380695343,0.027064025402069092,-0.27722686529159546,1.0034598112106323
1721411602567562800,26.744562744140627,-0.4697991907596588,-0.05592167750000954,0.12920351326465607,0.8714746236801147,0.024913420900702477,-0.28143978118896484,0.9923790693283081
1721411602584685800,26.761685791015626,-0.4649624824523926,-0.05789274349808693,0.1312146782875061,0.873636782169342,0.021757086738944054,-0.28702881932258606,0.9813166260719299
1721411602601847300,26.778847412109375,-0.46235790848731995,-0.05995449796319008,0.13308046758174896,0.8745971322059631,0.018996814265847206,-0.29237207770347595,0.9754089713096619
1721411602618991400,26.795991455078124,-0.45754721760749817,-0.0607285238802433,0.13560567796230316,0.8766834139823914,0.018424121662974358,-0.29771745204925537,0.9648016691207886
1721411602636140000,26.81314013671875,-0.4528304934501648,-0.061133984476327896,0.1376671940088272,0.8787803053855896,0.018050357699394226,-0.3018898367881775,0.954361617565155
1721411602653278500,26.830278564453124,-0.4481085240840912,-0.06179647147655487,0.1394132375717163,0.880876898765564,0.016856836155056953,-0.30573570728302,0.9437757134437561
1721411602670432300,26.847432373046875,-0.4435092806816101,-0.06318929046392441,0.14046479761600494,0.8829361796379089,0.013657866977155209,-0.3089861571788788,0.9331177473068237
1721411602687569400,26.8645693359375,-0.4387640953063965,-0.06501176953315735,0.14024174213409424,0.8852072358131409,0.008368016220629215,-0.3102909028530121,0.9216521382331848
1721411602704705500,26.88170556640625,-0.43486422300338745,-0.06699256598949432,0.1378733515739441,0.8873534798622131,0.0010705154854804277,-0.307786762714386,0.9115083813667297
1721411602721853000,26.89885302734375,-0.4334767758846283,-0.06843698769807816,0.13452306389808655,0.8884356021881104,-0.005216062534600496,-0.3029758632183075,0.9070618152618408
1721411602738998800,26.915998779296874,-0.43147262930870056,-0.06747359037399292,0.13224664330482483,0.8898255228996277,-0.006232501473277807,-0.2979685664176941,0.9020472764968872
1721411602756144000,26.93314404296875,-0.4297979474067688,-0.06450103968381882,0.1317840963602066,0.8909243941307068,-0.0017242642352357507,-0.2945028841495514,0.8987107872962952
